# Total data length 50 seconds
# 20 ms per point
# Trigger was at 5% (line 125), t=0
# time (s)  Vtemp(V)
8.84442,1.24325
8.86442,1.24325
8.88442,1.24319
8.90442,1.24309
8.92442,1.24303
8.94442,1.24297
8.96442,1.24294
8.98442,1.24288
9.00442,1.24281
9.02442,1.24278
9.04442,1.24272
9.06442,1.24263
9.08442,1.24263
9.10442,1.2425
9.12442,1.24247
9.14442,1.24247
9.16442,1.24241
9.18442,1.24234
9.20442,1.24231
9.22442,1.24219
9.24442,1.24216
9.26442,1.24216
9.28442,1.24209
9.30442,1.24203
9.32442,1.24194
9.34442,1.24194
9.36442,1.24188
9.38442,1.24181
9.40442,1.24178
9.42442,1.24172
9.44442,1.24166
9.46442,1.24163
9.48442,1.24156
9.50442,1.2415
9.52442,1.2415
9.54442,1.24141
9.56442,1.24134
9.58442,1.24131
9.60442,1.24119
9.62442,1.24119
9.64442,1.24109
9.66442,1.24109
9.68442,1.24103
9.70442,1.241
9.72442,1.24088
9.74442,1.24088
9.76442,1.24084
9.78442,1.24078
9.80442,1.24072
9.82442,1.24069
9.84442,1.24063
9.86442,1.24053
9.88442,1.24053
9.90442,1.24047
9.92442,1.24038
9.94442,1.24038
9.96442,1.24031
9.98442,1.24031
10.0044,1.24019
10.0244,1.24009
10.0444,1.24009
10.0644,1.24003
10.0844,1.24
10.1044,1.23994
10.1244,1.23984
10.1444,1.23984
10.1644,1.23972
10.1844,1.23972
10.2044,1.23963
10.2244,1.23963
10.2444,1.23956
10.2644,1.23953
10.2844,1.23947
10.3044,1.23941
10.3244,1.23931
10.3444,1.23925
10.3644,1.23925
10.3844,1.23922
10.4044,1.23909
10.4244,1.23906
10.4444,1.23906
10.4644,1.239
10.4844,1.23894
10.5044,1.23884
10.5244,1.23884
10.5444,1.23884
10.5644,1.23878
10.5844,1.23872
10.6044,1.23863
10.6244,1.23856
10.6444,1.23847
10.6644,1.23847
10.6844,1.23847
10.7044,1.23838
10.7244,1.23831
10.7444,1.23825
10.7644,1.23822
10.7844,1.23816
10.8044,1.23806
10.8244,1.23806
10.8444,1.238
10.8644,1.23794
10.8844,1.23791
10.9044,1.23791
10.9244,1.23784
10.9444,1.23778
10.9644,1.23769
10.9844,1.23769
11.0044,1.23759
11.0244,1.23753
11.0444,1.23753
11.0644,1.23747
11.0844,1.23744
11.1044,1.23738
11.1244,1.23728
11.1444,1.23722
11.1644,1.23716
11.1844,1.23709
11.2044,1.23709
11.2244,1.23706
11.2444,1.23694
11.2644,1.23694
11.2844,1.23691
11.3044,1.23684
11.3244,1.23678
11.3444,1.23675
11.3644,1.23669
11.3844,1.23663
11.4044,1.23659
11.4244,1.23659
11.4444,1.23653
11.4644,1.23644
11.4844,1.23638
11.5044,1.23631
11.5244,1.23628
11.5444,1.23622
11.5644,1.23616
11.5844,1.23616
11.6044,1.23606
11.6244,1.236
11.6444,1.23597
11.6644,1.23591
11.6844,1.23584
11.7044,1.23581
11.7244,1.23575
11.7444,1.23575
11.7644,1.23566
11.7844,1.23559
11.8044,1.23553
11.8244,1.23547
11.8444,1.23547
11.8644,1.23544
11.8844,1.23538
11.9044,1.23531
11.9244,1.23522
11.9444,1.23516
11.9644,1.23516
11.9844,1.23513
12.0044,1.23506
12.0244,1.23497
12.0444,1.23497
12.0644,1.23491
12.0844,1.23484
12.1044,1.23481
12.1244,1.23475
12.1444,1.23469
12.1644,1.23466
12.1844,1.23466
12.2044,1.23453
12.2244,1.23453
12.2444,1.2345
12.2644,1.2345
12.2844,1.23444
12.3044,1.23434
12.3244,1.23422
12.3444,1.23422
12.3644,1.23419
12.3844,1.23419
12.4044,1.23406
12.4244,1.23406
12.4444,1.23403
12.4644,1.23391
12.4844,1.23391
12.5044,1.23381
12.5244,1.23375
12.5444,1.23369
12.5644,1.23366
12.5844,1.23366
12.6044,1.23359
12.6244,1.23353
12.6444,1.2335
12.6644,1.23344
12.6844,1.23344
12.7044,1.23338
12.7244,1.23328
12.7444,1.23322
12.7644,1.23319
12.7844,1.23319
12.8044,1.23306
12.8244,1.23303
12.8444,1.23303
12.8644,1.23297
12.8844,1.23291
12.9044,1.23288
12.9244,1.23281
12.9444,1.23275
12.9644,1.23275
12.9844,1.23272
13.0044,1.23259
13.0244,1.23256
13.0444,1.2325
13.0644,1.23244
13.0844,1.23244
13.1044,1.23238
13.1244,1.23228
13.1444,1.23228
13.1644,1.23222
13.1844,1.23219
13.2044,1.23206
13.2244,1.23206
13.2444,1.23203
13.2644,1.23197
13.2844,1.23197
13.3044,1.23191
13.3244,1.23188
13.3444,1.23175
13.3644,1.23172
13.3844,1.23172
13.4044,1.23166
13.4244,1.23159
13.4444,1.23156
13.4644,1.2315
13.4844,1.23144
13.5044,1.23144
13.5244,1.23134
13.5444,1.23128
13.5644,1.23128
13.5844,1.23128
13.6044,1.23119
13.6244,1.23113
13.6444,1.23109
13.6644,1.23103
13.6844,1.23097
13.7044,1.23094
13.7244,1.23088
13.7444,1.23081
13.7644,1.23081
13.7844,1.23075
13.8044,1.23072
13.8244,1.23066
13.8444,1.23059
13.8644,1.23056
13.8844,1.2305
13.9044,1.23044
13.9244,1.23041
13.9444,1.23041
13.9644,1.23034
13.9844,1.23028
14.0044,1.23025
14.0244,1.23019
14.0444,1.23013
14.0644,1.23013
14.0844,1.23013
14.1044,1.23009
14.1244,1.22997
14.1444,1.22994
14.1644,1.22988
14.1844,1.22988
14.2044,1.22981
14.2244,1.22972
14.2444,1.22972
14.2644,1.22966
14.2844,1.22966
14.3044,1.22963
14.3244,1.2295
14.3444,1.22947
14.3644,1.22947
14.3844,1.22947
14.4044,1.22941
14.4244,1.22934
14.4444,1.22925
14.4644,1.22925
14.4844,1.22919
14.5044,1.22913
14.5244,1.22909
14.5444,1.22903
14.5644,1.22897
14.5844,1.22897
14.6044,1.22894
14.6244,1.22888
14.6444,1.22881
14.6644,1.22878
14.6844,1.22872
14.7044,1.22866
14.7244,1.22856
14.7444,1.22856
14.7644,1.2285
14.7844,1.2285
14.8044,1.22841
14.8244,1.22841
14.8444,1.22831
14.8644,1.22831
14.8844,1.22825
14.9044,1.22816
14.9244,1.22816
14.9444,1.22809
14.9644,1.22803
14.9844,1.22803
15.0044,1.228
15.0244,1.22794
15.0444,1.22788
15.0644,1.22784
15.0844,1.22778
15.1044,1.22772
15.1244,1.22769
15.1444,1.22763
15.1644,1.22756
15.1844,1.22756
15.2044,1.2275
15.2244,1.22747
15.2444,1.22734
15.2644,1.22731
15.2844,1.22731
15.3044,1.22725
15.3244,1.22719
15.3444,1.22719
15.3644,1.22709
15.3844,1.22709
15.4044,1.22703
15.4244,1.22694
15.4444,1.22694
15.4644,1.22688
15.4844,1.22688
15.5044,1.22688
15.5244,1.22678
15.5444,1.22672
15.5644,1.22669
15.5844,1.22669
15.6044,1.22663
15.6244,1.22653
15.6444,1.22647
15.6644,1.22641
15.6844,1.22641
15.7044,1.22631
15.7244,1.22625
15.7444,1.22622
15.7644,1.22622
15.7844,1.22622
15.8044,1.22609
15.8244,1.226
15.8444,1.226
15.8644,1.226
15.8844,1.22594
15.9044,1.22594
15.9244,1.22584
15.9444,1.22572
15.9644,1.22569
15.9844,1.22569
16.0044,1.22563
16.0244,1.22563
16.0444,1.22553
16.0644,1.22547
16.0844,1.22547
16.1044,1.22541
16.1244,1.22538
16.1444,1.22531
16.1644,1.22531
16.1844,1.22525
16.2044,1.22516
16.2244,1.22516
16.2444,1.22506
16.2644,1.22506
16.2844,1.225
16.3044,1.22494
16.3244,1.22491
16.3444,1.22484
16.3644,1.22478
16.3844,1.22475
16.4044,1.22475
16.4244,1.22469
16.4444,1.22459
16.4644,1.22453
16.4844,1.22453
16.5044,1.22441
16.5244,1.22441
16.5444,1.22438
16.5644,1.22438
16.5844,1.22431
16.6044,1.22425
16.6244,1.22416
16.6444,1.22416
16.6644,1.22406
16.6844,1.22409
16.7044,1.224
16.7244,1.22394
16.7444,1.22394
16.7644,1.22384
16.7844,1.22378
16.8044,1.22375
16.8244,1.22369
16.8444,1.22363
16.8644,1.22363
16.8844,1.22359
16.9044,1.22353
16.9244,1.22347
16.9444,1.22338
16.9644,1.22338
16.9844,1.22338
17.0044,1.22331
17.0244,1.22328
17.0444,1.22322
17.0644,1.22316
17.0844,1.22316
17.1044,1.22313
17.1244,1.22297
17.1444,1.22297
17.1644,1.22291
17.1844,1.22284
17.2044,1.22284
17.2244,1.22278
17.2444,1.22275
17.2644,1.22269
17.2844,1.22275
17.3044,1.22263
17.3244,1.22259
17.3444,1.22253
17.3644,1.22247
17.3844,1.22247
17.4044,1.22244
17.4244,1.22238
17.4444,1.22231
17.4644,1.22228
17.4844,1.22216
17.5044,1.22213
17.5244,1.22206
17.5444,1.22206
17.5644,1.222
17.5844,1.22197
17.6044,1.22191
17.6244,1.22184
17.6444,1.22181
17.6644,1.22181
17.6844,1.22175
17.7044,1.22169
17.7244,1.22166
17.7444,1.22159
17.7644,1.2215
17.7844,1.2215
17.8044,1.22144
17.8244,1.22131
17.8444,1.22128
17.8644,1.22128
17.8844,1.22122
17.9044,1.22116
17.9244,1.22113
17.9444,1.221
17.9644,1.221
17.9844,1.22097
18.0044,1.22084
18.0244,1.22081
18.0444,1.22081
18.0644,1.22075
18.0844,1.22075
18.1044,1.22066
18.1244,1.22053
18.1444,1.22053
18.1644,1.2205
18.1844,1.2205
18.2044,1.22044
18.2244,1.22038
18.2444,1.22034
18.2644,1.22028
18.2844,1.22022
18.3044,1.22019
18.3244,1.22013
18.3444,1.22003
18.3644,1.22003
18.3844,1.21997
18.4044,1.21997
18.4244,1.21988
18.4444,1.21981
18.4644,1.21975
18.4844,1.21981
18.5044,1.21975
18.5244,1.21959
18.5444,1.21959
18.5644,1.21953
18.5844,1.2195
18.6044,1.21944
18.6244,1.21938
18.6444,1.21934
18.6644,1.21934
18.6844,1.21928
18.7044,1.21922
18.7244,1.21913
18.7444,1.21906
18.7644,1.21906
18.7844,1.21906
18.8044,1.21903
18.8244,1.21891
18.8444,1.21881
18.8644,1.21881
18.8844,1.21875
18.9044,1.21872
18.9244,1.21866
18.9444,1.21866
18.9644,1.21856
18.9844,1.21856
19.0044,1.2185
19.0244,1.21844
19.0444,1.21834
19.0644,1.21828
19.0844,1.21825
19.1044,1.21819
19.1244,1.21813
19.1444,1.21806
19.1644,1.21806
19.1844,1.21806
19.2044,1.21797
19.2244,1.21791
19.2444,1.21781
19.2644,1.21781
19.2844,1.21775
19.3044,1.21775
19.3244,1.21766
19.3444,1.21766
19.3644,1.21756
19.3844,1.2175
19.4044,1.21744
19.4244,1.21741
19.4444,1.21734
19.4644,1.21734
19.4844,1.21728
19.5044,1.21725
19.5244,1.21719
19.5444,1.21713
19.5644,1.21709
19.5844,1.21713
19.6044,1.21703
19.6244,1.21697
19.6444,1.21694
19.6644,1.21688
19.6844,1.21681
19.7044,1.21678
19.7244,1.21672
